rabbitmq-1  | 2026-07-13 16:50:40.115082+08:00 [info] <0.254.0> Running boot step rabbit_sysmon_minder defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.115218+08:00 [info] <0.254.0> Running boot step rabbit_epmd_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.116072+08:00 [info] <0.580.0> epmd monitor knows us, inter-node communication (distribution) port: 25672[0m
rabbitmq-1  | 2026-07-13 16:50:40.116157+08:00 [info] <0.254.0> Running boot step guid_generator defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125037+08:00 [info] <0.254.0> Running boot step rabbit_node_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125295+08:00 [info] <0.584.0> Starting rabbit_node_monitor (in ignore mode)[0m
rabbitmq-1  | 2026-07-13 16:50:40.125363+08:00 [info] <0.254.0> Running boot step delegate_sup defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125678+08:00 [info] <0.254.0> Running boot step rabbit_memory_monitor defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125822+08:00 [info] <0.254.0> Running boot step rabbit_fifo_dlx_sup defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125869+08:00 [info] <0.254.0> Running boot step core_initialized defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125880+08:00 [info] <0.254.0> Running boot step rabbit_channel_tracking_handler defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125938+08:00 [info] <0.254.0> Running boot step rabbit_connection_tracking_handler defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.125970+08:00 [info] <0.254.0> Running boot step rabbit_definitions_hashing defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.126017+08:00 [info] <0.254.0> Running boot step rabbit_exchange_parameters defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.166690+08:00 [info] <0.254.0> Running boot step rabbit_mirror_queue_misc defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167149+08:00 [info] <0.254.0> Running boot step rabbit_policies defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167363+08:00 [info] <0.254.0> Running boot step rabbit_policy defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167396+08:00 [info] <0.254.0> Running boot step rabbit_queue_location_validator defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167430+08:00 [info] <0.254.0> Running boot step rabbit_quorum_memory_manager defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167453+08:00 [info] <0.254.0> Running boot step rabbit_quorum_queue defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167485+08:00 [info] <0.254.0> Running boot step rabbit_stream_coordinator defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167647+08:00 [info] <0.254.0> Running boot step rabbit_vhost_limit defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.167702+08:00 [info] <0.254.0> Running boot step rabbit_federation_parameters defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-07-13 16:50:40.167766+08:00 [info] <0.254.0> Running boot step rabbit_federation_supervisor defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-07-13 16:50:40.177266+08:00 [info] <0.254.0> Running boot step rabbit_federation_queue defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-07-13 16:50:40.177437+08:00 [info] <0.254.0> Running boot step rabbit_federation_upstream_exchange defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-07-13 16:50:40.177498+08:00 [info] <0.254.0> Running boot step rabbit_mgmt_reset_handler defined by app rabbitmq_management[0m
rabbitmq-1  | 2026-07-13 16:50:40.177532+08:00 [info] <0.254.0> Running boot step rabbit_mgmt_db_handler defined by app rabbitmq_management_agent[0m
rabbitmq-1  | 2026-07-13 16:50:40.177550+08:00 [info] <0.254.0> Management plugin: using rates mode 'basic'[0m
rabbitmq-1  | 2026-07-13 16:50:40.177690+08:00 [info] <0.254.0> Running boot step recovery defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.192681+08:00 [info] <0.254.0> Running boot step empty_db_check defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.192742+08:00 [info] <0.254.0> Will seed default virtual host and user...[0m
rabbitmq-1  | 2026-07-13 16:50:40.192811+08:00 [info] <0.254.0> Adding vhost '/' (description: 'Default virtual host', tags: [])[0m
rabbitmq-1  | 2026-07-13 16:50:40.253630+08:00 [info] <0.644.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@e874f36c67c1/msg_stores/vhosts/628WB79CIFDYO9LJI6DKMI09L' for vhost '/' exists[0m
rabbitmq-1  | 2026-07-13 16:50:40.255918+08:00 [info] <0.644.0> Setting segment_entry_count for vhost '/' with 0 queues to '2048'[0m
rabbitmq-1  | 2026-07-13 16:50:40.275382+08:00 [info] <0.644.0> Starting message stores for vhost '/'[0m
rabbitmq-1  | 2026-07-13 16:50:40.275654+08:00 [info] <0.653.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_transient": using rabbit_msg_store_ets_index to provide index[0m
rabbitmq-1  | 2026-07-13 16:50:40.277299+08:00 [info] <0.644.0> Started message store of type transient for vhost '/'[0m
rabbitmq-1  | 2026-07-13 16:50:40.277420+08:00 [info] <0.657.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": using rabbit_msg_store_ets_index to provide index[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.278250+08:00 [warning] <0.657.0> Message store "628WB79CIFDYO9LJI6DKMI09L/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-1  | 2026-07-13 16:50:40.278989+08:00 [info] <0.644.0> Started message store of type persistent for vhost '/'[0m
rabbitmq-1  | 2026-07-13 16:50:40.279125+08:00 [info] <0.644.0> Recovering 0 queues of type rabbit_classic_queue took 22ms[0m
rabbitmq-1  | 2026-07-13 16:50:40.279171+08:00 [info] <0.644.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-1  | 2026-07-13 16:50:40.279210+08:00 [info] <0.644.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-1  | 2026-07-13 16:50:40.287639+08:00 [info] <0.254.0> Created user 'gamedev_app'[0m
rabbitmq-1  | 2026-07-13 16:50:40.296972+08:00 [info] <0.254.0> Successfully set user tags for user 'gamedev_app' to [administrator][0m
rabbitmq-1  | 2026-07-13 16:50:40.307480+08:00 [info] <0.254.0> Successfully set permissions for user 'gamedev_app' in virtual host '/' to '.*', '.*', '.*'[0m
rabbitmq-1  | 2026-07-13 16:50:40.307558+08:00 [info] <0.254.0> Running boot step rabbit_observer_cli defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.307657+08:00 [info] <0.254.0> Running boot step rabbit_looking_glass defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.307701+08:00 [info] <0.254.0> Running boot step rabbit_core_metrics_gc defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.307920+08:00 [info] <0.254.0> Running boot step background_gc defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308018+08:00 [info] <0.254.0> Running boot step routing_ready defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308034+08:00 [info] <0.254.0> Running boot step pre_flight defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308049+08:00 [info] <0.254.0> Running boot step notify_cluster defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308063+08:00 [info] <0.254.0> Running boot step networking defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308135+08:00 [info] <0.254.0> Running boot step rabbit_quorum_queue_periodic_membership_reconciliation defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308286+08:00 [info] <0.254.0> Running boot step definition_import_worker_pool defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.308309+08:00 [info] <0.317.0> Starting worker pool 'definition_import_pool' with 16 processes in it[0m
rabbitmq-1  | 2026-07-13 16:50:40.309032+08:00 [info] <0.254.0> Running boot step cluster_name defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.309082+08:00 [info] <0.254.0> Initialising internal cluster ID to 'rabbitmq-cluster-id-nshcZ8h6bBIiRPY5GdAm6w'[0m
rabbitmq-1  | 2026-07-13 16:50:40.316250+08:00 [info] <0.254.0> Running boot step virtual_host_reconciliation defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.316523+08:00 [info] <0.254.0> Running boot step direct_client defined by app rabbit[0m
rabbitmq-1  | 2026-07-13 16:50:40.316607+08:00 [info] <0.254.0> Running boot step rabbit_federation_exchange defined by app rabbitmq_federation[0m
rabbitmq-1  | 2026-07-13 16:50:40.316704+08:00 [info] <0.254.0> Running boot step rabbit_management_load_definitions defined by app rabbitmq_management[0m
rabbitmq-1  | 2026-07-13 16:50:40.316775+08:00 [info] <0.706.0> Resetting node maintenance status[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0> Deprecated features: `management_metrics_collection`: Feature `management_metrics_collection` is deprecated.[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0> By default, this feature can still be used for now.[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0> Its use will not be permitted by default in a future minor RabbitMQ version and the feature will be removed from a future major RabbitMQ version; actual versions to be determined.[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0> To continue using this feature when it is not permitted by default, set the following parameter in your configuration:[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0>     "deprecated_features.permit.management_metrics_collection = true"[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0> To test RabbitMQ as if the feature was removed, set this in your configuration:[0m
rabbitmq-1  | [38;5;214m2026-07-13 16:50:40.591675+08:00 [warning] <0.735.0>     "deprecated_features.permit.management_metrics_collection = false"[0m
rabbitmq-1  | 2026-07-13 16:50:47.460974+08:00 [info] <0.772.0> Management plugin: HTTP (non-TLS) listener started on port 15672[0m
rabbitmq-1  | 2026-07-13 16:50:47.461194+08:00 [info] <0.804.0> Statistics database started.[0m
rabbitmq-1  | 2026-07-13 16:50:47.461264+08:00 [info] <0.803.0> Starting worker pool 'management_worker_pool' with 3 processes in it[0m
rabbitmq-1  | 2026-07-13 16:50:47.472025+08:00 [info] <0.822.0> Prometheus metrics: HTTP (non-TLS) listener started on port 15692[0m
rabbitmq-1  | 2026-07-13 16:50:47.472273+08:00 [info] <0.706.0> Ready to start client connection listeners[0m
rabbitmq-1  | 2026-07-13 16:50:47.474382+08:00 [info] <0.866.0> started TCP listener on [::]:5672[0m
rabbitmq-1  |  completed with 5 plugins.
rabbitmq-1  | 2026-07-13 16:50:47.630320+08:00 [info] <0.706.0> Server startup complete; 5 plugins started.[0m
